File;Time;Language;Order;Trial;Part;Words;Metaphor;Gesture;Dimension;Handshape;N Hands;Comment;Speech;Grammar;General comments
bi1_2t_AG_PC.eaf;00:02:58.462;;;4;1;;none;;;;;;Kadin korosu, ortalarda;ortalarda = in the middles ;
bi1_2t_AG_PC.eaf;00:03:11.355;;;4;2;;Height;;;;;The confederate does speak before this part but only to ask which tone she is talking about regarding the participant's description in the first part. I judge this to be an independent statement.;Ve ikinci ses bir basamak asaya;;
bi1_2t_AG_PC.eaf;00:03:13.323;;;4;2;asaya;Height;0;;;;The confederate does speak before this part but only to ask which tone she is talking about regarding the participant's description in the first part. I judge this to be an independent statement.;Ve ikinci ses bir basamak asaya;asaya = down+dative;
bi1_2t_AG_PC.eaf;00:03:37.283;;;5;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:03:37.283;;;5;1;;Height;;;;;;Erkek korosu, bas, asaglarda, desem;;
bi1_2t_AG_PC.eaf;00:03:44.268;;;5;1;asaglarda;Height;1;vert;flat H;2;;Erkek korosu, bas, asaglarda, desem;asaglarda = in the downs;
bi1_2t_AG_PC.eaf;00:04:16.159;;;5;2;;Height;;;;;;Guzel ve net, acik bir kadin korosunun sesi, ama baya yukseklerde yani;;
bi1_2t_AG_PC.eaf;00:04:21.630;;;5;2;yukseklerde;Height;1;vert;point;1;;Guzel ve net, acik bir kadin korosunun sesi, ama baya yukseklerde yani;yukseklerde = in the highs;
bi1_2t_AG_PC.eaf;00:04:40.086;;;6;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:04:40.086;;;6;1;;Height;;;;;;Baya ortalarda, yani ortanin ustunde desem, erkekler icin biraz daha yuksek bir seviyede;;
bi1_2t_AG_PC.eaf;00:04:42.498;;;6;1;;Height;;;;;;Baya ortalarda, yani ortanin ustunde desem, erkekler icin biraz daha yuksek bir seviyede;ortalarda = in the middles;
bi1_2t_AG_PC.eaf;00:04:43.920;;;6;1;ustunde;Height;1;none;flat H;1;;Baya ortalarda, yani ortanin ustunde desem, erkekler icin biraz daha yuksek bir seviyede;ustunde = above;
bi1_2t_AG_PC.eaf;00:04:48.813;;;6;2;;Height;;;;;;Ve ikinci ses ordan bir uc basamak asaya;;
bi1_2t_AG_PC.eaf;00:04:52.853;;;6;2;asaya;Height;0;;;;;Ve ikinci ses ordan bir uc basamak asaya;asaya = down+dative;
bi1_2t_AG_PC.eaf;00:05:40.048;;;7;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:05:40.048;;;7;1;;Height;;;;;;Yine melekler gibi yuksek soprano böyle isiklardan inen birisi, kadin korosu, ilk ses;;
bi1_2t_AG_PC.eaf;00:05:43.290;;;7;1;yuksek;Height;1;none;flat V;1;gesture before;Yine melekler gibi yuksek soprano böyle isiklardan inen birisi, kadin korosu, ilk ses;;
bi1_2t_AG_PC.eaf;00:05:55.415;;;7;2;;Height;;;;;;Ikincisi ondan baya bir dört, bes, alti basamak... yine kadin korosu ama, yine yukseklerdeyiz, ama baya bir fark var;;
bi1_2t_AG_PC.eaf;00:06:01.260;;;7;2;yukseklerdeyiz;Height;1;none;flat H;1;;Ikincisi ondan baya bir dört, bes, alti basamak... yine kadin korosu ama, yine yukseklerdeyiz, ama baya bir fark var;yukseklerdeyiz = we are on the highs;
bi1_2t_AG_PC.eaf;00:06:46.582;;;8;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:06:46.582;;;8;1;;none;;;;;;Orta seviye bir ses;;
bi1_2t_AG_PC.eaf;00:07:19.260;;;8;2;;Height;;;;;;Yani yukseklerde;;
bi1_2t_AG_PC.eaf;00:07:19.540;;;;;yukseklerde;;0;;;;;;yukseklerde = in the highs;
bi1_2t_AG_PC.eaf;00:07:46.147;;;9;1;;Height;0;;;;;Ilk ses daha da yukseklerde;;
bi1_2t_AG_PC.eaf;00:07:46.147;;;9;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:07:48.247;;;9;1;yukseklerde;Height;0;;;;;Ilk ses daha da yukseklerde;yukseklerde = in the highs;
bi1_2t_AG_PC.eaf;00:08:26.383;;;9;2;;Height;;;;;;Yine kadin sesi, yine yukseklerde;;
bi1_2t_AG_PC.eaf;00:08:27.623;;;9;2;yukseklerde;Height;1;none;other;2;;Yine kadin sesi, yine yukseklerde;yukseklerde = in the highs;
bi1_2t_AG_PC.eaf;00:09:15.308;;;10;1;;Height;;;;;;Bu sefer kadin korosu yuksekte, net, acik bir sesle yuksekte giriyor ;;
bi1_2t_AG_PC.eaf;00:09:17.287;;;10;1;yuksekte;Height;1;vert;flat H;1;;Bu sefer kadin korosu yuksekte, net, acik bir sesle yuksekte giriyor ;yuksekte = high+locative;
bi1_2t_AG_PC.eaf;00:10:14.042;;;11;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:10:14.042;;;11;1;;Height;;;;;;Erkek korosu... onlara göre orta sesin biraz ustunde;;
bi1_2t_AG_PC.eaf;00:10:22.658;;;11;1;ust;Height;1;vert;flat V;1;gesture before;Erkek korosu... onlara göre orta sesin biraz ustunde;;
bi1_2t_AG_PC.eaf;00:10:32.512;;;11;2;;Height;;;;;;Ikinci ses baya bas, basa dusuyor;;
bi1_2t_AG_PC.eaf;00:10:36.592;;;11;2;dusuyor;Height;1;vert;point;1;;Ikinci ses baya bas, basa dusuyor;dusuyor = falls, verb 3rd pers sing. present tese ;
bi1_2t_AG_PC.eaf;00:11:29.730;;;12;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:11:29.730;;;12;1;;Thickness;;;;;;Birinci ses cok kalin erkek sesi;;
bi1_2t_AG_PC.eaf;00:11:31.229;;;12;1;kalin;Thickness;n/a;;;;;Birinci ses cok kalin erkek sesi;;
bi1_2t_AG_PC.eaf;00:11:55.325;;;12;2;;Height;;;;;;Ikinci ses kadin korosu, ortanin biraz ustunde;;
bi1_2t_AG_PC.eaf;00:12:02.367;;;12;2;ustunde;Height;1;vert;flat H;1;gesture before;Ikinci ses kadin korosu, ortanin biraz ustunde;;
bi1_2t_AG_PC.eaf;00:12:47.479;;;13;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:12:47.479;;;13;1;;Thickness;;;;;;Erkek korosu, kalin, giris;;
bi1_2t_AG_PC.eaf;00:12:51.029;;;13;1;kalin;Thickness;0;;;;;Erkek korosu, kalin, giris;;
bi1_2t_AG_PC.eaf;00:13:03.836;;;13;2;;Thickness;;;;;;Ikinci ses yine erkek korosu kalin;;
bi1_2t_AG_PC.eaf;00:13:05.537;;;13;2;kalin;Thickness;1;none;narrow grip;;;Ikinci ses yine erkek korosu kalin;;
bi1_2t_AG_PC.eaf;00:13:47.886;;;14;1;;Thickness;;;;;;Ikinci ses erkek korosunun en kalin seslerden;;
bi1_2t_AG_PC.eaf;00:13:51.936;;;14;1;kalin;Thickness;1;vert;flat V;1;gesture before;Ikinci ses erkek korosunun en kalin seslerden;;
bi1_2t_AG_PC.eaf;00:14:35.210;;;;;;;;;;;;;ortalarda = in the middles;
bi1_2t_AG_PC.eaf;00:14:35.215;;;15;;;;;;;;;;;
bi1_2t_AG_PC.eaf;00:14:35.215;;;15;1;;none;;;;;;Ortalarda giriyorlar;;
bi1_2t_AG_PC.eaf;00:14:43.028;;;15;2;;Height;;;;;;Ikinci ses ondan uc dört basamak yuksege, daha yani yukariya;;
bi1_2t_AG_PC.eaf;00:14:46.150;;;15;2;yuksege;Height;1;vert;flat H;1;;Ikinci ses ondan uc dört basamak yuksege, daha yani yukariya;yuksege = high+dative;
bi10_1t_AG_PC.eaf;00:00:21.300;;;1;;;;;;;;Nothing in trial 1;;;
bi10_1t_AG_PC.eaf;00:02:04.300;;;2;;;;;;;;Nothing in trial 2;;;
bi10_1t_AG_PC.eaf;00:03:55.775;;;3;;;;;;;;Nothing in trial 3;;;
bi10_1t_AG_PC.eaf;00:05:37.375;;;4;;;;;;;;Nothing in trial 4;;;
bi10_1t_AG_PC.eaf;00:07:31.475;;;5;;;;;;;;Nothing in trial 5;;;
bi10_1t_AG_PC.eaf;00:08:37.675;;;6;;;;;;;;Nothing in trial 6;;;
bi10_1t_AG_PC.eaf;00:10:51.275;;;7;;;;;;;;Nothing in trial 7;;;
bi10_1t_AG_PC.eaf;00:12:27.275;;;8;;;;;;;;Nothing in trial 8;;;
bi10_1t_AG_PC.eaf;00:13:11.525;;;9;;;;;;;;Nothing in trial 9;;;
bi10_1t_AG_PC.eaf;00:14:00.175;;;10;;;;;;;;Nothing in trial 10;;;
bi10_1t_AG_PC.eaf;00:14:39.375;;;11;;;;;;;;Nothing in trial 11;;;
bi10_1t_AG_PC.eaf;00:15:51.725;;;12;;;;;;;;Nothing in trial 12;;;
bi10_1t_AG_PC.eaf;00:16:23.825;;;13;;;;;;;;Nothing in trial 13;;;
bi10_1t_AG_PC.eaf;00:16:59.875;;;14;;;;;;;;Nothing in trial 14;;;
bi10_1t_AG_PC.eaf;00:17:33.225;;;15;;;;;;;;Nothing in trial 15;;;
bi10_2s_PC.eaf;00:00:16.800;;;1;;;;;;;;;;;participant consistently reverses the vertical mapping of brightness
bi10_2s_PC.eaf;00:00:19.680;;;1;1;;Brightness;;;;;;den första var;;participant consistently reverses the vertical mapping of brightness
